category,a,b,c
Graffiti / Flyposting on traffic light (offensive),Graffiti,Incivilities,Incivilities
Mud or Debris on the road,Debris/Spillage,Rubbish,Environmental Health
Japanese knotweed / ragwort,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Unauthorised Attachment,Other,Other,Other
Temporary,Traffic Lights,Road Safety,Road Safety & Defects
Tree or Shrub on a verge or open space,Fallen/Dangerous Trees,Open Spaces/Parks,Public Space
Sign Twisted/Misaligned,Street Signs,Road Safety,Road Safety & Defects
Culvert,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Manhole covers,Manhole Covers,Drainage,Environmental Health
Noise report,Noise,Incivilities,Incivilities
Entertainment,Other,Other,Other
Overgrown Weeds,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Pedestrian Barrier Corroded,Pavement /Footway Defects,Right of Way,Access
Sign or road marking missing following works,Street Signs,Road Safety,Road Safety & Defects
Sponsor a tree,Other,Other,Other
Road or pavement defect,Road/Pavement Defects,Road Surface Defects,Road Safety & Defects
"Fly Tipping on a road, footway, verge or",Fly-tipping,Rubbish,Environmental Health
Cats Eyes,Road Markings,Road Safety,Road Safety & Defects
Waste spillage,Spillage on Road,Rubbish,Environmental Health
Bollard Out Of Light,Street Furniture,Street Furniture,Road Safety & Defects
Stile-Damaged/Missing,Gates/Stiles RoW,Right of Way,Access
Damage Public Litter Bin,Bin Repair/Replacement,Bin Replacement,Environmental Health
Overgrown trees,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Blocked rainwater gulleys,Blocked Drains,Drainage,Environmental Health
Footway / carriageway,Right of Way,Right of Way,Access
Bollard,Street Furniture,Street Furniture,Road Safety & Defects
Safety fence or barrier,Street Signs,Road Safety,Road Safety & Defects
Traffic signal faulty,Street Signs,Road Safety,Road Safety & Defects
Street washing,Street Signs,Road Safety,Road Safety & Defects
Obstructing The Road,Overgrown Vegetation,Pavement /Footway Defects,Road Safety & Defects
Refuse collection,Bin Collection,Rubbish,Environmental Health
Column Damaged,Street Furniture,Street Furniture,Road Safety & Defects
General (Roads & Pav.),Road/Pavement Defects,Road Surface Defects,Road Safety & Defects
Pedestrian railing,Pavement /Footway Defects,Right of Way,Access
Works crew - way of working,Road Works,Grounds Maintenance,Road Safety & Defects
Blocked Drain,Blocked Drains,Drainage,Environmental Health
Flyposting (on road or roadside),Flyposting,Incivilities,Incivilities
"Street lighting (parks, car parks, open spaces and footpaths)",Street Lights,Street Lights,Road Safety & Defects
Missed published Gritted Route,Gritting,Gritting,Road Safety & Defects
Lit Bollards,Street Furniture,,
Road markings and lining,Road Markings,Road Safety,Road Safety & Defects
Public Right of Way (including Cycleway),Right of Way,Right of Way,Access
Alcohol,Other,Other,Other
Lit Bollards (Electrical),Barriers/Bollards on RoW,Road Safety,Road Safety & Defects
Missed Cut,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Parks repairs,Open Spaces/Parks,Open Spaces/Parks,Environmental Disruptions
Dog Waste Bin,Dog Litter Bin,Bin Replacement,Environmental Health
General (Ironworks),Other,Other,Other
Trees on and near highways and footpaths,Overgrown Vegetation,Right of Way,Access
Flashing signs,Street Furniture,,
Iluminated Bollard,Street Lights,Street Lights,Road Safety & Defects
Litter in the street,Litter/Litter Bin,Rubbish,Environmental Health
Drainage or Flooding on a public right of way,Blocked Drains,Drainage,Environmental Health
Council Estate Services,Other,Other,Other
Gully Catch Soakwy: Non Func,Gullies,Drainage,Environmental Health
General (CP & ABV),Other,Other,Other
Parks,Open Spaces/Parks,Open Spaces/Parks,Public Space
Trees (along Public Rights of Way),Trees on RoW,Right of Way,Access
Needles,Environmental Health,Environmental Health,Environmental Health
Problem with a light not shown on map,Street Lights,Street Lights,Road Safety & Defects
Bin Damaged NonHazard,Bin Repair/Replacement,Bin Replacement,Environmental Health
Tree Requires Pruning,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Tree is considered to be causing damage,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Footway,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Dog Bin overflow,Dog Litter Bin,Bin Replacement,Environmental Health
Hedge problem,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Damaged road,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Tree obstructing street light,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Dead Animal,Dead Animals,Environmental Health,Environmental Health
"Public rights of way, alleyways and bridlepaths",Pavement /Footway Defects,Right of Way,Access
Pavements,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Oil spillage,Spillage on Road,Rubbish,Environmental Health
2 signal lights out,Street Lights,Street Lights,Road Safety & Defects
Enquiry regarding newly planted tree,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Road Safety & Defects
Other street furniture,Street Furniture,Street Furniture,Road Safety & Defects
Road lighting,Street Lights,Street Lights,Road Safety & Defects
Broken / Missing,Manhole Covers,Drainage,Environmental Health
Grass,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Growth at the bottom of trees/regrowth,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Vegetation on a public right of way,Overgrown Vegetation,Right of Way,Access
Single light out/flickering,Street Lights,Street Lights,Road Safety & Defects
Fallen tree,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Blocked drains and gullies,Blocked Drains,Drainage,Environmental Health
"Vandalism/disturbance (example, cones moved from works)",Other,Other,Other
Unlit Bollard Issue Hazardous,Street Furniture,Street Furniture,Road Safety & Defects
Untaxed vehicle,Untaxed Vehcile,Other,Abandoned Vehicles & Parking
Surface water on Highway,Flooding,Drainage,Environmental Health
Obstruction on road or pavement,Obstruction,Right of Way,Access
Skips,Skips,Rubbish,Environmental Health
Highway Improvements on a road or footwa,Highway Condition,Grounds Maintenance,Road Safety & Defects
Bollards,Barriers/Bollards on RoW,Right of Way,Access
Slabs - Missing,Pavement /Footway Defects,Right of Way,Access
Parking enforcement,Parking,Parking,Abandoned Vehicles & Parking
Salt Bin Request,Salt Bins,Gritting,Road Safety & Defects
Street Lighting and Road Signs,Street Lights,Street Lights,Road Safety & Defects
Household bins left out,Accumulated Litter,Rubbish,Environmental Health
Full bin,Litter/Litter Bin,Rubbish,Environmental Health
"Bridge, Subway or Culvert in an open space",Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
General Enquiry,Other,Other,Other
Parks and Greenspace,Open Spaces/Parks,Open Spaces/Parks,Public Space
Tree Or Shrub on a road or footway,Trees on RoW,Right of Way,Access
Bin Damaged Hazard,Bin Repair/Replacement,Bin Replacement,Environmental Health
Damaged equipment,Open Spaces/Parks,Open Spaces/Parks,Public Space
Weeds on roads or footpaths,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Blocked drain,Blocked Drains,Drainage,Environmental Health
Icy Road,Ice & Snow,Gritting,Road Safety & Defects
Damage to road,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Kerb damage / issue,Broken Kerbs,Other,Environmental Disruptions
Tree,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Road signs,Street Signs,Road Safety,Road Safety & Defects
Bollards (unlit),Street Signs,Road Safety,Road Safety & Defects
Diseased Tree,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Damaged bollards/posts,Street Furniture,Street Furniture,Road Safety & Defects
Highway Tree Removal,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Highways Maintenance,Highway Condition,Grounds Maintenance,Road Safety & Defects
Trees overhanging/obstructing the road or footpath,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Obstruction,Obstruction,Right of Way,Access
Bus Stop Pole Leaning/Damaged,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Tree (fallen branches),Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Trees,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Drains/Ditches Blocked,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Street Cleaning Enquiry,Street Cleaning,Street Furniture,Environmental Health
"Damaged, dirty, or missing bin",Bin Repair/Replacement,Bin Replacement,Environmental Health
Salt bins,Grit Bins,Gritting,Road Safety & Defects
Missing Drain Cover,Grids and Drains,Drainage,Environmental Health
Vandalism,Other,Other,Other
Utility equipment,Utility Works,Utility Works,Environmental Disruptions
Manhole Cover,Manhole Covers,Drainage,Environmental Health
Abandoned and Untaxed Vehicles,Abandoned Vehicles,Abandoned Vehicles,Abandoned Vehicles & Parking
Blocked drain / Flooding,Blocked Drains,Drainage,Environmental Health
Flooded subway,Flooding,Drainage,Environmental Health
Low hanging branches and general maintenance,Trees and Hedges RoW,Right of Way,Access
Zebra Crossing Light,Road Markings,Road Safety,Road Safety & Defects
Leaning Tree,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Street Nameplates,Street Name Plates,Street Furniture,Environmental Disruptions
Leafing,Leafing,Rubbish,Environmental Disruptions
Litter Bin on a verge or open space,Litter/Litter Bin,Rubbish,Environmental Health
Light on during the day,Street Lights,Street Lights,Road Safety & Defects
Enforcement,Parking,Parking,Abandoned Vehicles & Parking
Illegal Street Trading,Other,Other,Other
Verge cutting required,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Tree/branch/hedge - overgrown,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Directional Signs,Street Signs,Street Furniture,Public Space
Attachment Distract/Obstruct,Street Signs,Road Safety,Road Safety & Defects
Play area safety issue,Open Spaces/Parks,Open Spaces/Parks,Public Space
Not coming on/ faulty,Street Lights,Street Lights,Road Safety & Defects
Exposed cables/wires,Environmental Health,Environmental Health,Environmental Health
Missing Kerb Stones,Broken Kerbs,Other,Environmental Disruptions
Road defect,Road Surface Defects,Road Surface Defects,Road Safety & Defects
General (H-way Emerg.),Highway Condition,Road Surface Defects,Road Safety & Defects
Uneven footway,Pavement /Footway Defects,Right of Way,Access
Vehicle Access,Vehicle Access,Right of Way,Access
Play Area Issues on a verge or open spac,Open Spaces/Parks,Open Spaces/Parks,Public Space
Lit Signs,Street Furniture,,
Pavement Jetting,Pavement /Footway Defects,Road Surface Defects,Road Safety & Defects
Tree/branch - may fall,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Traffic Lights,Traffic Lights,Road Safety,Road Safety & Defects
Traffic Signals,Traffic Lights,Road Safety,Road Safety & Defects
Retaining Wall,Retaining Wall,Retaining Wall,Environmental Disruptions
Trees and plants,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
"Fly Tipping on a road, footway, verge or open space",Fly-tipping,Rubbish,Environmental Health
Gully and Catchpits,Gullies,Drainage,Environmental Health
Trees & hedges,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Street Works (Utilities),Grounds Maintenance,Grounds Maintenance,Road Safety & Defects
Unstable scaffolding,Other,Other,Other
Car Parks and ticket machines,Parking,Parking,Abandoned Vehicles & Parking
General (Lines & Signs),Other,Other,Other
Works notification letter/leaflet,Road Works,Grounds Maintenance,Road Safety & Defects
Streetlight Obscured by Veg,Street Lights,Street Lights,Road Safety & Defects
Street light intermittent,Street Lights,Street Lights,Road Safety & Defects
Carriageway,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Blocked Ditch,Blocked Drains,Drainage,Environmental Health
Flooding from a blocked drain,Flooding,Drainage,Environmental Health
Obstruction (Not Vegetation),Obstruction,Right of Way,Access
Parking queries/reports,Parking,Parking,Abandoned Vehicles & Parking
Damage to paintwork/ column,Street Furniture,Street Furniture,Road Safety & Defects
Warning Signs,Street Signs,Street Furniture,Other
"Public rights of way, alleyways and brid",Right of Way,Right of Way,Access
Traffic lights & crossings problems with timings,Traffic Lights,Road Safety,Road Safety & Defects
Hedge/Tree Maintenance,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Drains,Blocked Drains,Drainage,Environmental Health
Rubbish,Rubbish,Rubbish,Environmental Health
Flytipping and dumped rubbish,Fly-tipping,Rubbish,Environmental Health
Request gritting action,Gritting,Gritting,Road Safety & Defects
Dropped kerb - Apply for new / extend crossover,Pavement /Footway Defects,Road Safety,Road Safety & Defects
Pothole on pavement/verge,Potholes,Road Surface Defects,Road Safety & Defects
Bin Request,Bin Repair/Replacement,Bin Replacement,Environmental Health
Leaves/ leaf fall,Leafing,Rubbish,Environmental Disruptions
Mud and Debris,Debris/Spillage,Rubbish,Environmental Health
Other water on the Highway,Flooding,Drainage,Environmental Health
Fly tipping,Fly-tipping,Rubbish,Environmental Health
Worn out road markings,Road Markings,Road Safety,Road Safety & Defects
Unauthorised skip,Other,Other,Other
Long Grass Hazardous,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Pothole In CW/FW,Potholes,Road Surface Defects,Road Safety & Defects
Rubbish (refuse and recycling),Rubbish,Rubbish,Environmental Health
Traffic lights & signals,Traffic Lights,Road Safety,Road Safety & Defects
Crossings and Beacons,Pavement /Footway Defects,,
Manhole/drain cover on pavement/verge,Manhole Covers,Drainage,Environmental Health
Tree blocking TV/Satellite or radio signal,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Weed control,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Parks and open spaces,Open Spaces/Parks,Open Spaces/Parks,Public Space
Ironwork Corroded/Damaged,Manhole Covers,Drainage,Environmental Health
Access Arrangements,Vehicle Access,Right of Way,Access
White Bar Marking,Road Markings,Road Safety,Road Safety & Defects
Dog Mess,Dog Fouling,Dog Fouling,Environmental Health
Garden Waste,Garden Waste,Rubbish,Environmental Health
Gully Catch Soakwy: Bad Smell,Gullies,Drainage,Environmental Health
General (Winter),Ice & Snow,Gritting,Road Safety & Defects
Wires exposed/Door off,Other,Other,Other
Pest Control,Pest Control,Environmental Health,Environmental Health
Road or pavement damage,Road/Pavement Defects,Road Surface Defects,Road Safety & Defects
Bridges/Subways,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Fly Tipping,Fly-tipping,Rubbish,Environmental Health
Tree matters / Preservation Orders,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
All out,Street Lights,Street Lights,Road Safety & Defects
Oil Spillage,Spillage on Road,Rubbish,Environmental Health
Street Cleansing,Street Cleaning,Street Furniture,Environmental Health
Trees overhanging roads/paths,Overgrown Vegetation,Right of Way,Access
Overhanging Foliage,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Safety fences and barriers,Street Signs,Road Safety,Road Safety & Defects
Debris/spillage,Debris/Spillage,Rubbish,Environmental Health
Poop Scoop Bins,Dog Fouling,Dog Fouling,Environmental Health
Graffiti/Flyposting: Offensive,Graffiti,Incivilities,Incivilities
Council car parks,Parking,Parking,Abandoned Vehicles & Parking
Traffic signal obstructed by vegetation,Traffic Lights,Road Safety,Road Safety & Defects
Traffic Lights - Permanent,Traffic Lights,,Road Safety & Defects
Flooding on a road or footway,Flooding,Drainage,Environmental Health
Helpfulness of staff,Other,Other,Other
Pavements/footpaths,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Fly-Posting,Flyposting,Incivilities,Incivilities
Blocked Ditch Causing Flooding,Blocked Drains,Drainage,Environmental Health
Graffiti / Flyposting on traffic light (non-offensive),Graffiti,Incivilities,Incivilities
Private property,Other,Other,Other
lit bollard knocked down,Barriers/Bollards on RoW,Road Safety,Road Safety & Defects
Car parking,Parking,Parking,Abandoned Vehicles & Parking
Short Grass,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Street Name Plate,Street Name Plates,Street Furniture,Environmental Disruptions
Leaves,Leafing,Rubbish,Environmental Disruptions
Abandoned Vehicle,Abandoned Vehicles,Abandoned Vehicles,Abandoned Vehicles & Parking
Street Lights (Electrical),Street Lights,Street Lights,Road Safety & Defects
Loose/missing/chipped kerbstone,Broken Kerbs,Other,Environmental Disruptions
Soft Verge Damaged/Overrun,Verge Damage,Road Safety,Road Safety & Defects
Vegetation or Weeds on a public right of,Overgrown Vegetation,Right of Way,Access
Gate - Damaged/ Missing,Gates/Stiles RoW,Right of Way,Access
Gullies,Gullies,Drainage,Environmental Health
Gulley covers,Gullies,Drainage,Environmental Health
Grit bin refills,Grit Bins,Gritting,Road Safety & Defects
Crash Barriers - Damaged / Missing,Street Furniture,Road Safety,Road Safety & Defects
Temporary Traffic Lights,Traffic Lights,Road Safety,Road Safety & Defects
Veg Obstructed: Traffic Signal,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Traffic lights problem at temporary roadworks,Traffic Lights,Road Safety,Road Safety & Defects
Illegal advertising,Flyposting,Incivilities,Incivilities
Tree blocking solar panels,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
General Highways Enquiry,General Highways Enquiries,Highways Enquiries,Road Safety & Defects
Bin Repair,Bin Repair/Replacement,Bin Replacement,Environmental Health
Missing/ damaged traffic sign,Street Signs,Road Safety,Road Safety & Defects
Bollard light not working,Street Signs,Road Safety,Road Safety & Defects
Roadside safety barrier,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Damaged cables,Road Works,Grounds Maintenance,Road Safety & Defects
To let signs,To Let Signs,Other,Other
Graffiti,Graffiti,Incivilities,Incivilities
Business bins left out,Trade Waste,Rubbish,Environmental Health
Flytipping (TfL),Fly-tipping,Rubbish,Environmental Health
Shelter Damaged,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Emergency - Fallen tree,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Road Safety & Defects
Pavement damage,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Vegetation or Weeds on a public right of way,Overgrown Vegetation,Right of Way,Access
Crash Barriers Damaged/Missing,Street Furniture,Road Safety,Road Safety & Defects
Street light,Street Lights,Street Lights,Road Safety & Defects
Lights out in Pedestrian Subway,Street Lights,Street Lights,Road Safety & Defects
Footway Defect,Pavement /Footway Defects,Right of Way,Access
Damage - wires exposed,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Signal Failure,Street Signs,Road Safety,Road Safety & Defects
Removal Of Carcass,Dead Animals,Environmental Health,Environmental Health
Off Street Parking,Parking,Parking,Abandoned Vehicles & Parking
Media Enquiry,Other,Other,Other
Carriageway Flood Hazardous,Road Surface Defects,Road Surface Defects,Road Safety & Defects
"Benches, tables, planters",Street Furniture,,
Unlit sign knocked down,Street Furniture,Street Furniture,Road Safety & Defects
Intermittent,Street Lights,Street Lights,Road Safety & Defects
Street nameplaces,Street Name Plates,Street Furniture,Environmental Disruptions
Grass/Weeds,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Crash Barriers,Street Furniture,Road Safety,Road Safety & Defects
Vehicle Idling,Other,Other,Other
Obstruction on Highways / Sight Lines,Obstruction,Right of Way,Access
Graffiti on council buildings,Graffiti,Incivilities,Incivilities
Spill - Oil/Diesel,Spillage on Road,Rubbish,Environmental Health
Spillages,Spillage on Road,Rubbish,Environmental Health
Sign issue,Street Signs,Street Furniture,Road Safety & Defects
Street Nameplate Dam./Miss.,Street Name Plates,Street Furniture,Environmental Disruptions
Road Sign,Street Signs,Road Safety,Road Safety & Defects
Missing safety fence,Pavement /Footway Defects,Road Surface Defects,Road Safety & Defects
Litter or flytipping in a woodland,Litter/Litter Bin,Rubbish,Environmental Health
Failure to deliver bin,Other,Other,Other
Damaged bench,Street Furniture,Street Furniture,Public Space
Bollards (lit),Street Signs,Road Safety,Road Safety & Defects
